UTC-aika,Suomen aika,Sähkön kulutus (MWh/h),Sähkön tuotanto (MWh/h)
31.12.2013 22:00,1.1.2014 0:00,"9,410.00","7,585.00"
31.12.2013 23:00,1.1.2014 1:00,"8,967.00","7,456.00"
1.1.2014 0:00,1.1.2014 2:00,"8,642.00","7,306.00"
1.1.2014 1:00,1.1.2014 3:00,"8,453.00","7,264.00"
1.1.2014 2:00,1.1.2014 4:00,"8,384.00","7,231.00"
1.1.2014 3:00,1.1.2014 5:00,"8,452.00","7,270.00"
1.1.2014 4:00,1.1.2014 6:00,"8,655.00","7,339.00"
1.1.2014 5:00,1.1.2014 7:00,"8,657.00","7,384.00"
1.1.2014 6:00,1.1.2014 8:00,"8,832.00","7,533.00"
1.1.2014 7:00,1.1.2014 9:00,"8,917.00","7,667.00"
1.1.2014 8:00,1.1.2014 10:00,"8,954.00","7,766.00"
1.1.2014 9:00,1.1.2014 11:00,"9,131.00","7,796.00"
1.1.2014 10:00,1.1.2014 12:00,"9,233.00","7,871.00"
1.1.2014 11:00,1.1.2014 13:00,"9,287.00","7,922.00"
1.1.2014 12:00,1.1.2014 14:00,"9,414.00","7,938.00"
1.1.2014 13:00,1.1.2014 15:00,"9,825.00","8,040.00"
1.1.2014 14:00,1.1.2014 16:00,"10,073.00","8,281.00"
1.1.2014 15:00,1.1.2014 17:00,"10,103.00","8,290.00"
1.1.2014 16:00,1.1.2014 18:00,"10,164.00","8,329.00"
1.1.2014 17:00,1.1.2014 19:00,"10,160.00","8,296.00"
1.1.2014 18:00,1.1.2014 20:00,"9,947.00","8,163.00"
1.1.2014 19:00,1.1.2014 21:00,"9,599.00","8,070.00"
1.1.2014 20:00,1.1.2014 22:00,"9,841.00","7,992.00"
1.1.2014 21:00,1.1.2014 23:00,"9,686.00","7,900.00"
1.1.2014 22:00,2.1.2014 0:00,"9,233.00","7,757.00"
1.1.2014 23:00,2.1.2014 1:00,"8,886.00","7,758.00"
2.1.2014 0:00,2.1.2014 2:00,"8,671.00","7,769.00"
2.1.2014 1:00,2.1.2014 3:00,"8,594.00","7,799.00"
2.1.2014 2:00,2.1.2014 4:00,"8,642.00","7,802.00"
2.1.2014 3:00,2.1.2014 5:00,"8,946.00","7,844.00"
2.1.2014 4:00,2.1.2014 6:00,"9,743.00","7,972.00"
2.1.2014 5:00,2.1.2014 7:00,"10,277.00","8,252.00"
2.1.2014 6:00,2.1.2014 8:00,"10,629.00","8,330.00"
2.1.2014 7:00,2.1.2014 9:00,"10,705.00","8,311.00"
2.1.2014 8:00,2.1.2014 10:00,"10,658.00","8,330.00"
2.1.2014 9:00,2.1.2014 11:00,"10,706.00","8,417.00"
2.1.2014 10:00,2.1.2014 12:00,"10,704.00","8,370.00"
2.1.2014 11:00,2.1.2014 13:00,"10,695.00","8,378.00"
2.1.2014 12:00,2.1.2014 14:00,"10,823.00","8,389.00"
2.1.2014 13:00,2.1.2014 15:00,"11,057.00","8,615.00"
2.1.2014 14:00,2.1.2014 16:00,"11,152.00","8,791.00"
2.1.2014 15:00,2.1.2014 17:00,"11,125.00","8,791.00"
2.1.2014 16:00,2.1.2014 18:00,"11,072.00","8,711.00"
2.1.2014 17:00,2.1.2014 19:00,"11,085.00","8,685.00"
2.1.2014 18:00,2.1.2014 20:00,"10,912.00","8,481.00"
2.1.2014 19:00,2.1.2014 21:00,"10,450.00","8,391.00"
2.1.2014 20:00,2.1.2014 22:00,"10,503.00","8,217.00"
2.1.2014 21:00,2.1.2014 23:00,"10,293.00","8,003.00"
2.1.2014 22:00,3.1.2014 0:00,"9,761.00","7,893.00"
2.1.2014 23:00,3.1.2014 1:00,"9,354.00","7,812.00"
3.1.2014 0:00,3.1.2014 2:00,"9,163.00","7,781.00"
3.1.2014 1:00,3.1.2014 3:00,"9,038.00","7,760.00"
3.1.2014 2:00,3.1.2014 4:00,"9,115.00","7,754.00"
3.1.2014 3:00,3.1.2014 5:00,"9,421.00","7,810.00"
3.1.2014 4:00,3.1.2014 6:00,"10,067.00","8,018.00"
3.1.2014 5:00,3.1.2014 7:00,"10,580.00","8,272.00"
3.1.2014 6:00,3.1.2014 8:00,"10,986.00","8,497.00"
3.1.2014 7:00,3.1.2014 9:00,"11,052.00","8,589.00"
3.1.2014 8:00,3.1.2014 10:00,"10,931.00","8,524.00"
3.1.2014 9:00,3.1.2014 11:00,"10,907.00","8,454.00"
3.1.2014 10:00,3.1.2014 12:00,"10,919.00","8,541.00"
3.1.2014 11:00,3.1.2014 13:00,"10,992.00","8,515.00"
3.1.2014 12:00,3.1.2014 14:00,"10,956.00","8,547.00"
3.1.2014 13:00,3.1.2014 15:00,"11,230.00","8,818.00"
3.1.2014 14:00,3.1.2014 16:00,"11,372.00","8,790.00"
3.1.2014 15:00,3.1.2014 17:00,"11,307.00","8,732.00"
3.1.2014 16:00,3.1.2014 18:00,"11,310.00","8,727.00"
3.1.2014 17:00,3.1.2014 19:00,"11,164.00","8,761.00"
3.1.2014 18:00,3.1.2014 20:00,"10,929.00","8,506.00"
3.1.2014 19:00,3.1.2014 21:00,"10,505.00","8,323.00"
