"time","energyConsumption","temp helsinki kaisaniemi","temp kuopio ritoniemi","temp rovaniemi rautatieasema"
"1388534400000","8642.0","5.3","2.9","-1.0"
"1388538000000","8453.0","5.1","2.9","-0.9"
"1388541600000","8384.0","5.1","2.8","-1.0"
"1388545200000","8452.0","5.2","2.7","-1.0"
"1388548800000","8655.0","5.2","2.7","-1.4"
"1388552400000","8657.0","5.1","2.8","-2.0"
"1388556000000","8832.0","4.8","2.6","-2.5"
"1388559600000","8917.0","4.4","2.6","-2.8"
"1388563200000","8954.0","3.7","2.6","-2.9"
"1388566800000","9131.0","3.8","2.7","-3.0"
"1388570400000","9233.0","3.5","2.2","-3.2"
"1388574000000","9287.0","3.0","2.0","-3.2"
"1388577600000","9414.0","2.9","2.8","-3.3"
"1388581200000","9825.0","2.9","2.8","-3.5"
"1388584800000","10073.0","2.6","2.6","-3.6"
"1388588400000","10103.0","2.5","2.1","-3.6"
"1388592000000","10164.0","2.6","2.2","-3.5"
"1388595600000","10160.0","2.6","2.2","-3.3"
"1388599200000","9947.0","2.1","1.7","-3.1"
"1388602800000","9599.0","2.0","1.7","-3.3"
"1388606400000","9841.0","1.9","1.6","-3.3"
"1388610000000","9686.0","1.8","1.7","-3.5"
"1388613600000","9233.0","1.5","1.7","-3.3"
"1388617200000","8886.0","1.5","1.6","-3.3"
"1388620800000","8671.0","1.1","1.3","-3.1"
"1388624400000","8594.0","1.1","1.7","-3.0"
"1388628000000","8642.0","1.1","1.6","-2.7"
"1388631600000","8946.0","1.0","1.6","-2.5"
"1388635200000","9743.0","0.9","1.7","-2.4"
"1388638800000","10277.0","0.7","0.7","-2.0"
"1388642400000","10629.0","0.7","0.4","-1.7"
"1388646000000","10705.0","0.7","0.4","-1.5"
"1388649600000","10658.0","0.7","0.2","-1.3"
"1388653200000","10706.0","0.9","0.1","-1.1"
"1388656800000","10704.0","0.7","0.2","-0.9"
"1388660400000","10695.0","1.1","0.3","-0.7"
"1388664000000","10823.0","1.2","0.0","-0.6"
"1388667600000","11057.0","1.2","-0.3","-0.1"
"1388671200000","11152.0","0.9","-0.6","0.2"
"1388674800000","11125.0","1.1","-0.6","0.3"
"1388678400000","11072.0","1.2","-0.7","0.3"
"1388682000000","11085.0","1.2","-0.9","0.1"
"1388685600000","10912.0","1.4","-1.0","0.1"
"1388689200000","10450.0","1.2","-1.1","-0.4"
"1388692800000","10503.0","1.3","-1.5","-0.2"
"1388696400000","10293.0","1.3","-1.7","-0.1"
"1388700000000","9761.0","1.4","-1.9","-0.2"
"1388703600000","9354.0","1.4","-1.9","0.0"
"1388707200000","9163.0","1.4","-2.0","0.1"
"1388710800000","9038.0","1.5","-1.9","0.0"
"1388714400000","9115.0","1.5","-1.8","-0.2"
"1388718000000","9421.0","1.4","-1.7","-0.1"
"1388721600000","10067.0","1.4","-1.7","-0.3"
"1388725200000","10580.0","1.4","-1.8","-0.5"
"1388728800000","10986.0","1.5","-1.8","-0.6"
"1388732400000","11052.0","1.6","-1.7","-0.7"
"1388736000000","10931.0","1.7","-1.7","-0.8"
"1388739600000","10907.0","1.7","-1.7","-0.7"
"1388743200000","10919.0","1.6","-1.8","-1.0"
"1388746800000","10992.0","1.7","-2.0","-1.1"
"1388750400000","10956.0","1.8","-2.0","-1.1"
"1388754000000","11230.0","1.8","-2.2","-1.1"
"1388757600000","11372.0","1.8","-2.2","-1.2"
"1388761200000","11307.0","1.8","-2.3","-1.2"
"1388764800000","11310.0","1.8","-2.4","-1.2"
"1388768400000","11164.0","1.9","-2.3","-1.2"
"1388772000000","10929.0","1.9","-2.3","-1.1"
"1388775600000","10505.0","2.0","-2.3","-1.3"
"1388779200000","10654.0","1.9","-2.2","-1.4"
"1388782800000","10416.0","2.1","-2.1","-1.6"
"1388786400000","9872.0","2.2","-1.9","-1.6"
"1388790000000","9387.0","2.1","-1.7","-1.7"
"1388793600000","9102.0","2.2","-1.7","-1.8"
"1388797200000","8972.0","2.2","-1.5","-1.9"
"1388800800000","8932.0","2.2","-1.4","-2.1"
"1388804400000","9069.0","2.2","-1.4","-2.2"
"1388808000000","9362.0","2.1","-1.3","-2.2"
"1388811600000","9443.0","2.0","-1.2","-2.2"
"1388815200000","9711.0","2.1","-1.1","-2.3"
"1388818800000","9879.0","2.3","-1.0","-2.3"
"1388822400000","9965.0","2.2","-0.9","-2.3"
"1388826000000","10024.0","2.2","-0.8","-2.2"
"1388829600000","10127.0","2.1","-0.6","-2.1"
"1388833200000","10184.0","2.1","-0.5","-2.0"
"1388836800000","10255.0","2.2","-0.4","-1.9"
"1388840400000","10585.0","2.1","-0.4","-1.9"
"1388844000000","10857.0","2.1","-0.3","-1.7"
"1388847600000","10967.0","2.4","-0.3","-1.6"
"1388851200000","11025.0","2.0","-0.1","-1.6"
"1388854800000","10943.0","1.8","0.0","-1.6"
"1388858400000","10588.0","2.2","0.1","-1.5"
"1388862000000","10180.0","2.8","0.1","-1.4"
"1388865600000","10412.0","4.4","0.0","-1.2"
"1388869200000","10244.0","4.9","0.1","-1.1"
"1388872800000","9784.0","4.9","0.2","-1.1"
"1388876400000","9332.0","4.9","0.1","-0.9"
"1388880000000","8996.0","5.0","0.0","-0.6"
"1388883600000","8884.0","5.0","0.0","-0.5"
"1388887200000","8830.0","5.0","-0.1","-0.7"
"1388890800000","8848.0","4.9","-0.1","-0.9"
"1388894400000","8991.0","4.8","-0.3","-0.9"
"1388898000000","9004.0","4.5","-0.2","-0.8"
"1388901600000","9173.0","4.5","-0.2","-0.9"
"1388905200000","9280.0","4.4","-0.2","-0.9"
"1388908800000","9394.0","4.4","-0.1","-0.3"
"1388912400000","9519.0","4.6","-0.1","-0.5"
"1388916000000","9602.0","5.0","0.0","-0.3"
"1388919600000","9650.0","4.9","0.0","-0.1"
